4321,2026-09-13T15:04:15.338024300,Deposit,100.0,460.0
1234,2026-09-13T15:05:13.671805200,Withdraw,20.0,290.0
4321,2026-09-14T09:08:27.757953,Overdraft,600.0,-175.0
4321,2026-09-14T09:08:27.757953,Overdraft Fee,35.0,-175.0
abcd12345,2026-09-14T09:08:27.757953,Deposit,600.0,800.0
4321,2026-09-14T09:11:16.163755600,Deposit,400.0,225.0
4321,2026-09-14T09:11:28.054406600,Overdraft,500.0,-310.0
4321,2026-09-14T09:11:28.054406600,Overdraft Fee,35.0,-310.0
abcd12345,2026-09-14T09:11:28.054406600,Deposit,500.0,1300.0
4321,2026-09-14T09:11:53.436255300,Overdraft,99.0,-409.0
4321,2026-09-14T09:11:53.436255300,Overdraft Fee,35.0,-444.0
abcd12345,2026-09-14T09:11:53.436255300,Deposit,99.0,1399.0
